Designator,Mid X,Mid Y,Rotation,Layer
C1,211.6252,-83.86,0.0,top
C2,214.2752,-91.285,90.0,top
J1,211.7752,-73.61,270.0,bottom
J2,202.3752,-85.985,180.0,top
J3,202.3752,-91.26,0.0,top
R1,209.7002,-77.76,180.0,top
R2,209.7002,-80.76,180.0,top
R3,206.8488,-85.6718,90.0,top
R4,208.5252,-85.685,270.0,top
R5,206.5252,-91.185,90.0,top
U1,211.7752,-87.51,180.0,top
U2,211.7752,-91.51,0.0,top
