Designator,Mid X,Mid Y,Rotation,Layer
C1,170.87,-73.882685,270.0,top
R1,174.12,-69.573599,180.0,top
R2,177.801065,-77.028271,180.0,top
R3,172.720439,-77.013274,180.0,top
RV1,172.87,-50.46,90.0,top
SW1,259.67,-106.26,180.0,top
SW2,259.67,-115.46,180.0,top
SW3,259.67,-96.96,180.0,top
U1,174.12,-73.71,0.0,top
