Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,233.775,-115.675,180.0,top
C2,100n,C_0603_1608Metric,229.9,-113.45,180.0,top
J1,Conn_01x04_Pin,PinHeader_1x05_P2.54mm_Vertical,213.5,-113.095,0.0,top
J2,Conn_01x04_Pin,conn_01x05_2.54_SMD_5mm,222.0,-104.6,0.0,top
R1,4.7k,R_0603_1608Metric,209.8,-113.1,0.0,top
R2,4.7k,R_0603_1608Metric,209.80022,-110.567066,0.0,top
R3,4.7k,R_0603_1608Metric,209.8,-108.072421,0.0,top
U1,VEML6040,SENSOR_SMD_VEML6040A3OG,234.0,-113.2,-90.0,top
U2,TMP117xxDRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,225.35,-113.45,0.0,top
