Comment,Designator,Footprint,LCSC
4.7k,"R1,R2,R3",R_0603_1608Metric,C23162
100n,"C1,C2",C_0603_1608Metric,C49678
TMP117xxDRV,U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C699536
VEML6040,U1,SENSOR_SMD_VEML6040A3OG,C78465
